sequence_ids,species,zooid,blast_hit,GO_term,gene_tree
1437310,Bargmannia elongata,Gonodendron male,P21328|RTJK_DROME RNA-directed DNA polymerase from mobile element jockey,GO:0003964;GO:0006278;GO:0016021;GO:0004519;GO:0090305;GO:0008233;GO:0006508,0be8e9deb6a52c14320824698ea284b6
1464569,Bargmannia elongata,Gonodendron male,Q95JP0|WDR63_MACFA WD repeat-containing protein 63,GO:0036156;GO:0045503;GO:0036159;GO:0045504;GO:0060294,581eeba594e31a72bc1cf5e6b0a7d38e
1363816,Bargmannia elongata,Gonodendron male,A6H8T7|CBPC2_DANRE Cytosolic carboxypeptidase 2,GO:0004181;GO:0006508;GO:0005814;GO:0036064;GO:0035610;GO:0008270;GO:0005829;GO:0016021,NA
1398441,Bargmannia elongata,Gonodendron male,Q6GPQ5|DPH1_XENLA Diphthamide biosynthesis protein 1,GO:0017182;GO:0016740;GO:0030054;GO:0005654;GO:1900247;GO:0005515;GO:0042729;GO:0072686;GO:0005829;GO:0044249;GO:0008283;GO:0016021;GO:0008608,NA
1297288,Bargmannia elongata,Gonodendron male,,NA,NA
1473782,Bargmannia elongata,Gonodendron male,Q08BC4|STPG2_DANRE Sperm-tail PG-rich repeat-containing protein 2,GO:0016021,9653757b4603472b380c8700336b014b
1374470,Bargmannia elongata,Gonodendron male,,NA,NA
1300188,Bargmannia elongata,Gonodendron male,P38024|PUR6_CHICK Multifunctional protein ADE2,GO:0004639;GO:0006189;GO:0005829;GO:0042802;GO:0043473;GO:0060041;GO:0043009,NA
1399288,Bargmannia elongata,Gonodendron male,,NA,NA
1295789,Bargmannia elongata,Gonodendron male,Q9D994|WDR38_MOUSE WD repeat-containing protein 38,NA,NA
1403071,Bargmannia elongata,Gonodendron male,,NA,NA
1307123,Bargmannia elongata,Gonodendron male,Q6MG62|MSH5_RAT MutS protein homolog 5,GO:0030983;GO:0006298;GO:0000228;GO:0005524;GO:0007131;GO:0008094,9fa74542a3fc54c1e153c31f272d6dec
1458872,Bargmannia elongata,Gonodendron male,Q8IYW2|CFA46_HUMAN Cilia- and flagella-associated protein 46 {ECO:0000305},NA,NA
1417479,Bargmannia elongata,Gonodendron male,,NA,NA
1429872,Bargmannia elongata,Gonodendron male,Q6PE87|CF206_MOUSE Cilia- and flagella-associated protein 206 {ECO:0000305},GO:0031514;GO:0035082;GO:0005515;GO:0003341;GO:0097649;GO:0001534;GO:0016021,NA
1477372,Bargmannia elongata,Gonodendron male,Q96N23|CFA54_HUMAN Cilia- and flagella-associated protein 54 {ECO:0000305},NA,NA
1438747,Bargmannia elongata,Gonodendron male,,NA,NA
1460140,Bargmannia elongata,Gonodendron male,,NA,NA
1437808,Bargmannia elongata,Gonodendron male,"Q8NEP3|DAAF1_HUMAN Dynein assembly factor 1, axonemal",GO:0044458;GO:0005929;GO:0070840;GO:0032838;GO:0016607;GO:0005856;GO:0005829;GO:0003356;GO:0071907;GO:0071910;GO:0035469;GO:0036158;GO:0036159;GO:0060972;GO:0001947;GO:0005886;GO:0030324;GO:0005576;GO:0016021;GO:0003341;GO:0003305;GO:0003314;GO:0006858;GO:0060027;GO:0048793;GO:0099111;GO:0007283,NA
1306056,Bargmannia elongata,Gonodendron male,E7EZF3|UHRF1_DANRE E3 ubiquitin-protein ligase UHRF1,GO:0010216;GO:0044729;GO:0005720;GO:0031493;GO:0051865;GO:0016363;GO:0140034;GO:0010390;GO:0044027;GO:0000122;GO:0005657;GO:0061630;GO:0060729;GO:0042802;GO:0005654;GO:0031100;GO:0046872;GO:0002088;GO:0001889;GO:0006954,NA
1415723,Bargmannia elongata,Gonodendron male,,NA,NA
1431010,Bargmannia elongata,Gonodendron male,Q8R0P8|ABHD8_MOUSE Protein ABHD8 {ECO:0000305},NA,9d7896e033a72bc270e1c4accd3e889e
1411619,Bargmannia elongata,Gonodendron male,Q1RMP7|PPIL6_BOVIN Peptidyl-prolyl cis-trans isomerase-like 6,GO:0003755;GO:0000413;GO:0016018;GO:0051082;GO:0042026,NA
1461435,Bargmannia elongata,Gonodendron male,A8VU90|ANKL1_MOUSE Ankyrin repeat and LEM domain-containing protein 1 {ECO:0000250|UniProtKB:Q8NAG6},NA,NA
1473110,Bargmannia elongata,Gonodendron male,Q9JJ94|SSNA1_MOUSE Sjoegren syndrome nuclear autoantigen 1 homolog,GO:0060830;GO:0036064;GO:0042802;GO:0005813;GO:0042073;GO:0005634;GO:0005829;GO:0005886;GO:0097711;GO:0000086;GO:0010389,NA
1414167,Bargmannia elongata,Gonodendron male,,NA,NA
1401175,Bargmannia elongata,Gonodendron male,Q496A3|SPAS1_HUMAN Spermatogenesis-associated serine-rich protein 1,NA,5d62ae98845b0c3365ed4c50b3550b8f
1286279,Bargmannia elongata,Gonodendron male,Q8N8K9|K1958_HUMAN Uncharacterized protein KIAA1958,GO:0004180;GO:0007186;GO:0016021;GO:0004930;GO:0006508,NA
1324798,Bargmannia elongata,Gonodendron male,"P41564|IDH3G_MACFA Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",GO:0004449;GO:0006099;GO:0005739;GO:0051287;GO:0000287;GO:0005730;GO:0006102;GO:0016021;GO:0004450,NA
1337638,Bargmannia elongata,Gonodendron male,P0CT40|TF29_SCHPO Transposon Tf2-9 polyprotein,NA,NA
1474371,Bargmannia elongata,Gonodendron male,,NA,NA
1325167,Bargmannia elongata,Gonodendron male,,NA,NA
1368217,Bargmannia elongata,Gonodendron male,Q8IYE0|CC146_HUMAN Coiled-coil domain-containing protein 146,GO:0005814;GO:0005200;GO:0000226;GO:0000278;GO:0005525;GO:0005874;GO:0005737,1a80ab84aea94212b873caf7718fb633
1374475,Bargmannia elongata,Gonodendron male,,NA,NA
1293354,Bargmannia elongata,Gonodendron male,Q63632|S12A4_RAT Solute carrier family 12 member 4,NA,NA
1381552,Bargmannia elongata,Gonodendron male,Q4R3J7|DCA12_MACFA DDB1- and CUL4-associated factor 12,NA,NA
1420662,Bargmannia elongata,Gonodendron male,,NA,NA
1381246,Bargmannia elongata,Gonodendron male,Q8WVS4|WDR60_HUMAN WD repeat-containing protein 60,NA,NA
1408111,Bargmannia elongata,Gonodendron male,"Q9P2D7|DYH1_HUMAN Dynein heavy chain 1, axonemal",NA,NA
1387603,Bargmannia elongata,Gonodendron male,Q9P2S6|ANKY1_HUMAN Ankyrin repeat and MYND domain-containing protein 1,NA,355931c4d17aec7c3c8a9a461a513e12
1415792,Bargmannia elongata,Gonodendron male,Q96J94|PIWL1_HUMAN Piwi-like protein 1,GO:0034584;GO:0007286;GO:0097433;GO:0033391;GO:0140262;GO:1905538;GO:0003727;GO:0019901;GO:0043186;GO:0005634;GO:0004521;GO:0034587;GO:0003729;GO:0031047;GO:0016021;GO:0010529;GO:0043486;GO:0006997;GO:0006323;GO:0090502;GO:0009653,NA
1387601,Bargmannia elongata,Gonodendron male,Q8C0W1|ANMY1_MOUSE Ankyrin repeat and MYND domain-containing protein 1,NA,355931c4d17aec7c3c8a9a461a513e12
1397234,Bargmannia elongata,Gonodendron male,A7SNN5|PLK4_NEMVE Serine/threonine-protein kinase PLK4,GO:0007099;GO:0005814;GO:0004674;GO:0042802;GO:0098536;GO:0001741;GO:0046601;GO:0005813;GO:0005829;GO:0005524;GO:0005730;GO:0097742;GO:1903251;GO:0060707;GO:0000922;GO:0006468;GO:0032465;GO:0000278,NA
1417366,Bargmannia elongata,Gonodendron male,"Q63164|DYH1_RAT Dynein heavy chain 1, axonemal",NA,NA
1316524,Bargmannia elongata,Gonodendron male,,NA,NA
1325171,Bargmannia elongata,Gonodendron male,,NA,NA
1383594,Bargmannia elongata,Gonodendron male,Q27746|DNMT1_PARLI DNA (cytosine-5)-methyltransferase PliMCI,GO:0003886;GO:0090116;GO:0005634;GO:0003682;GO:0008270;GO:0005721;GO:0003677;GO:0035622;GO:0005657;GO:0051567;GO:0044030;GO:0031017;GO:0070121;GO:0010842;GO:0070013;GO:0060216;GO:0002088;GO:0043025;GO:0010216;GO:0003723;GO:0000166;GO:0032991;GO:0005737;GO:0016021;GO:0048565;GO:0030331;GO:0042826;GO:0007368;GO:0051216;GO:0019904;GO:1905916;GO:1905930;GO:1905460;GO:0090309;GO:0043045;GO:1905064;GO:0051573;GO:0051571;GO:1904707;GO:0071230;GO:0010424;GO:0007265;GO:0000122;GO:0016458;GO:0010628;GO:0071560;GO:0045814;GO:0046500;GO:0042493,NA
1341994,Bargmannia elongata,Gonodendron male,Q7Z6Z7|HUWE1_HUMAN E3 ubiquitin-protein ligase HUWE1,NA,NA
1368218,Bargmannia elongata,Gonodendron male,Q8IYE0|CC146_HUMAN Coiled-coil domain-containing protein 146,GO:0005814;GO:0005509;GO:0046983;GO:0016021,1a80ab84aea94212b873caf7718fb633
1382897,Bargmannia elongata,Gonodendron male,,NA,NA
1391583,Bargmannia elongata,Gonodendron male,,NA,NA
1283096,Bargmannia elongata,Gonodendron male,Q9JLI7|SPAG6_MOUSE Sperm-associated antigen 6,GO:0097228;GO:0007288;GO:0005515;GO:0021591;GO:0015630;GO:0072643;GO:1990716;GO:0001913;GO:0001771;GO:0002467;GO:0099513;GO:0005634;GO:0006959;GO:0023061,NA
1405525,Bargmannia elongata,Gonodendron male,A6N6J5|WDR35_RAT WD repeat-containing protein 35,GO:0030991;GO:0035721;GO:0005459;GO:0036064;GO:0008374;GO:0005515;GO:0005509;GO:0005930;GO:0005813;GO:0097542;GO:0030173;GO:0005623;GO:0061512;GO:0060271;GO:1990830;GO:0031966;GO:1905705;GO:0097421;GO:1904406;GO:1903427;GO:0090200;GO:0045428;GO:0071333;GO:0097756;GO:0043280;GO:0071356;GO:0032496;GO:0031327;GO:0009636;GO:0010629;GO:0035965;GO:0072334;GO:0044419;GO:0007007;GO:0007507,c4d638bb172ee9a947d51daa045a6903
1461132,Bargmannia elongata,Gonodendron male,Q9D5E4|DRC3_MOUSE Dynein regulatory complex subunit 3,GO:0005930;GO:0031514,NA
1352645,Bargmannia elongata,Gonodendron male,,NA,NA
1437965,Bargmannia elongata,Gonodendron male,,NA,NA
1389463,Bargmannia elongata,Gonodendron male,,NA,NA
1448979,Bargmannia elongata,Gonodendron male,Q8TF32|ZN431_HUMAN Zinc finger protein 431,NA,NA
1454541,Bargmannia elongata,Gonodendron male,Q8NDM7|CFA43_HUMAN Cilia- and flagella-associated protein 43 {ECO:0000312|HGNC:HGNC:26684},NA,NA
1431999,Bargmannia elongata,Gonodendron male,P56597|NDK5_HUMAN Nucleoside diphosphate kinase homolog 5,GO:0004550;GO:0006228;GO:0036126;GO:0006183;GO:0006241;GO:0005576;GO:0003676;GO:0016021;GO:0006165;GO:0048515;GO:1902176;GO:0003351;GO:0021591;GO:0007281;GO:0060271,2d68e483800057c3fe17bf86abc90109
1459402,Bargmannia elongata,Gonodendron male,,NA,NA
1364013,Bargmannia elongata,Gonodendron male,,NA,NA
1304857,Bargmannia elongata,Gonodendron male,P51987|CCNB_HYDVD G2/mitotic-specific cyclin-B,GO:0042025;GO:0043029;GO:0016538;GO:0048538;GO:0019901;GO:0040008;GO:0005813;GO:0004672;GO:0007049;GO:0000307;GO:0000079;GO:0005829;GO:0045296;GO:0001701;GO:0005634;GO:0016020;GO:0051301;GO:0006468;GO:0051081;GO:0060317,NA
1363555,Bargmannia elongata,Gonodendron male,P21872|PUR2_CHICK Trifunctional purine biosynthetic protein adenosine-3,GO:0004644;GO:0006189;GO:0008864;GO:0004641;GO:0004637;GO:0005524;GO:0046872;GO:0009113;GO:0043473;GO:0043010;GO:0043009,NA
1335380,Bargmannia elongata,Gonodendron male,,NA,NA
1493074,Bargmannia elongata,Gonodendron male,Q8N1V2|CFA52_HUMAN Cilia- and flagella-associated protein 52 {ECO:0000312|HGNC:HGNC:16053},GO:0031514;GO:0036459;GO:0016579;GO:0006511;GO:0005515;GO:0005737,NA
1291562,Bargmannia elongata,Gonodendron male,Q5ZMD6|H2AZ_CHICK Histone H2A.Z,NA,NA
1433247,Bargmannia elongata,Gonodendron male,P83852|CBPD_LOPSP Carboxypeptidase D,GO:0004181;GO:0006508;GO:0016021;GO:0004185;GO:0005615;GO:0048471;GO:0012505;GO:0005886;GO:0051604;GO:0008270;GO:0007616;GO:0007476;GO:0042302;GO:0030838;GO:0001933;GO:0006518,NA
1462587,Bargmannia elongata,Gonodendron male,,NA,NA
1469688,Bargmannia elongata,Gonodendron male,A4FU69|EFCB5_HUMAN EF-hand calcium-binding domain-containing protein 5,GO:0005509,NA
1310254,Bargmannia elongata,Gonodendron male,Q5SSH7|ZZEF1_MOUSE Zinc finger ZZ-type and EF-hand domain-containing protein 1,NA,NA
1446285,Bargmannia elongata,Gonodendron male,Q498J7|MC6ZA_XENLA Zygotic DNA replication licensing factor mcm6-A,GO:0042555;GO:0006270;GO:0003678;GO:0005634;GO:0032508;GO:0070013;GO:0003677;GO:0005524;GO:0005840;GO:0042802;GO:1902299;GO:0000727;GO:1902969;GO:0004553;GO:0005975,NA
1347817,Bargmannia elongata,Gonodendron male,B2RQL2|STOX1_MOUSE Storkhead-box protein 1 {ECO:0000312|MGI:MGI:2684909},NA,bb350ad73450c10cccce7ee12413ee27
1466840,Bargmannia elongata,Gonodendron male,P10978|POLX_TOBAC Retrovirus-related Pol polyprotein from transposon TNT 1-94,GO:0015074;GO:0003676;GO:0008270,NA
1359317,Bargmannia elongata,Gonodendron male,,NA,NA
1300803,Bargmannia elongata,Gonodendron male,,NA,NA
1358587,Bargmannia elongata,Gonodendron male,Q5PQQ6|IQCG_RAT IQ domain-containing protein G,GO:0002177;GO:0007288;GO:0030544;GO:0036126;GO:0005516;GO:0005829,NA
1458206,Bargmannia elongata,Gonodendron male,Q6IV68|FACD2_RAT Fanconi anemia group D2 protein homolog,NA,NA
1316926,Bargmannia elongata,Gonodendron male,Q8BPP0|ZN436_MOUSE Zinc finger protein 436,NA,NA
1404257,Bargmannia elongata,Gonodendron male,O35594|IFT81_MOUSE Intraflagellar transport protein 81 homolog,GO:0030992;GO:0042073;GO:0015631;GO:0005929;GO:0060271;GO:0005815;GO:0009966;GO:0048793;GO:0007283;GO:0030154,30dabfab7e48df8e51c4cadce8260240
1299556,Bargmannia elongata,Gonodendron male,,NA,NA
1476215,Bargmannia elongata,Gonodendron male,,NA,NA
1464319,Bargmannia elongata,Gonodendron male,Q3UGF1|WDR19_MOUSE WD repeat-containing protein 19,GO:0035721;GO:0005929;GO:0004252;GO:0030991;GO:0005515;GO:0043005;GO:0005856;GO:0005737;GO:0016021;GO:0060830;GO:1903441;GO:0060831;GO:0061055;GO:0031076;GO:0030326;GO:0048701;GO:0042471;GO:0008406;GO:0055123;GO:0060271;GO:0001701;GO:0000902;GO:0050877;GO:0065003;GO:0006508,1e18e714d4702709f580903c094584b3
1393281,Bargmannia elongata,Gonodendron male,,NA,NA
1392261,Bargmannia elongata,Gonodendron male,,NA,NA
1428501,Bargmannia elongata,Gonodendron male,P35072|TCB1_CAEBR Transposable element Tcb1 transposase,NA,NA
1395441,Bargmannia elongata,Gonodendron male,Q567I9|CB5D1_DANRE Cytochrome b5 domain-containing protein 1,GO:0005929;GO:0046872;GO:0032838;GO:0005856;GO:0016021,NA
1334905,Bargmannia elongata,Gonodendron male,Q5TYP4|CA112_DANRE Uncharacterized protein C1orf112 homolog,NA,5a46a212a337101488278595fae40e66
1335652,Bargmannia elongata,Gonodendron male,Q5R8X9|AMN1_PONAB Protein AMN1 homolog,NA,04221bef5ca352cb8ba9caf29b5f87c7
1395131,Bargmannia elongata,Gonodendron male,Q5XTS1|PLPL8_RABIT Calcium-independent phospholipase A2-gamma,GO:0016042;GO:0047499;GO:0031903;GO:0005777;GO:0043651;GO:0046457;GO:0004622;GO:0019369;GO:0005524;GO:0006693;GO:0048471;GO:0000139;GO:0005789;GO:0005783;GO:0046470;GO:1903963;GO:0016021;GO:0032309;GO:0046337;GO:0008219;GO:0046434;GO:1901565;GO:0044248,e0ef0ec41fb3c28d99696ec6d0682bd4
1400257,Bargmannia elongata,Gonodendron male,Q4R6I1|GIN1_MACFA Gypsy retrotransposon integrase-like protein 1,NA,4a46df77fba86190e1d8e069fdbc3ad1
1320140,Bargmannia elongata,Gonodendron male,Q8BRC6|MAAT1_MOUSE Protein MAATS1,GO:0031514;GO:0003341;GO:0005515;GO:0001536;GO:0005739,NA
1305391,Bargmannia elongata,Gonodendron male,O22943|STL1_ARATH Probable glycosyltransferase STELLO1 {ECO:0000303|PubMed:27277162},NA,ea36bde3baf217d56983983449c67e2a
1458693,Bargmannia elongata,Gonodendron male,Q5VVX9|UBE2U_HUMAN Ubiquitin-conjugating enzyme E2 U,NA,c40164209c87073677e383d2b10ca32c
1349465,Bargmannia elongata,Gonodendron male,,NA,NA
1486009,Bargmannia elongata,Gonodendron male,,NA,NA
1361309,Bargmannia elongata,Gonodendron male,Q4G0U5|PCDP1_HUMAN Cilia- and flagella-associated protein 221 {ECO:0000312|HGNC:HGNC:33720},NA,6492e5adac2ace7728136e454e344519
1470293,Bargmannia elongata,Gonodendron male,Q96N67|DOCK7_HUMAN Dedicator of cytokinesis protein 7,GO:0007264;GO:0005085;GO:0005833;GO:0016021;GO:0005344;GO:0019825;GO:0020037;GO:0015671;GO:0046872,b0a7c3ed8dac1725dd9d518ec9410e00
1484630,Bargmannia elongata,Gonodendron male,,NA,NA
1343903,Bargmannia elongata,Gonodendron male,"P23098|DYHC_TRIGR Dynein beta chain, ciliary",GO:0030286;GO:0003777;GO:0007018;GO:0036158;GO:0005524;GO:0036126;GO:0005930;GO:0051959;GO:0045505;GO:0005874;GO:0060285;GO:0042623;GO:0016021,NA
1374615,Bargmannia elongata,Gonodendron male,,NA,NA
1432178,Bargmannia elongata,Gonodendron male,,NA,NA
1406741,Bargmannia elongata,Gonodendron male,"O46629|ECHB_BOVIN Trifunctional enzyme subunit beta, mitochondrial",GO:0016747;GO:0006635;GO:0005739;GO:0016021,NA
1457854,Bargmannia elongata,Gonodendron male,Q5U2X1|FBX9_RAT F-box only protein 9,NA,a55a8ab1b3f1a1f845fc0d0554cbfc23
1429815,Bargmannia elongata,Gonodendron male,Q7T0Y4|DRC1_XENLA Dynein regulatory complex protein 1,GO:0005858;GO:0070286;GO:0005537;GO:0060285;GO:0005829;GO:0031514;GO:0007368;GO:0005793;GO:0030134;GO:0007507;GO:0000139;GO:0005789;GO:0003352;GO:0007030;GO:0007029;GO:0006888,NA
1457106,Bargmannia elongata,Gonodendron male,Q8WVM7|STAG1_HUMAN Cohesin subunit SA-1,GO:0008278;GO:1901673;GO:0003682;GO:0097431;GO:0000785;GO:0016363;GO:0016604;GO:0007062;GO:0016021,f54509aec98c6ad26e08735ddcf05172
1415285,Bargmannia elongata,Gonodendron male,P10394|POL4_DROME Retrovirus-related Pol polyprotein from transposon 412,GO:0015074;GO:0004190;GO:0016021;GO:0003676;GO:0006508;GO:0008270,NA
1477371,Bargmannia elongata,Gonodendron male,Q96N23|CFA54_HUMAN Cilia- and flagella-associated protein 54 {ECO:0000305},NA,NA
1307124,Bargmannia elongata,Gonodendron male,Q6MG62|MSH5_RAT MutS protein homolog 5,GO:0030983;GO:0006298;GO:0005524,9fa74542a3fc54c1e153c31f272d6dec
1403977,Bargmannia elongata,Gonodendron male,"Q8TD57|DYH3_HUMAN Dynein heavy chain 3, axonemal",GO:0030286;GO:0003777;GO:0007018;GO:0005524;GO:0005930;GO:0005874;GO:0016021;GO:0051959;GO:0045505;GO:0042623,NA
1389720,Bargmannia elongata,Gonodendron male,,NA,NA
1486942,Bargmannia elongata,Gonodendron male,"Q8T888|DNAL1_CIOIN Dynein light chain 1, axonemal",GO:0045504;GO:0036158;GO:0030286;GO:0043014;GO:0005874;GO:0003774;GO:0042995;GO:0005737;GO:0030246,NA
1364985,Bargmannia elongata,Gonodendron male,Q9I7I0|CCNB3_DROME G2/mitotic-specific cyclin-B3,GO:0010389;GO:0019901;GO:0042025;GO:0000079,c803b081b223befa668ade2aeb3732e9
1474719,Bargmannia elongata,Gonodendron male,,NA,NA
1420620,Bargmannia elongata,Gonodendron male,,NA,NA
1447804,Bargmannia elongata,Gonodendron male,Q08759|MYB_XENLA Transcriptional activator Myb,GO:0003677;GO:0005634;GO:0090282;GO:0007307;GO:0045792;GO:0001228;GO:0031523;GO:0005700;GO:0010971;GO:0000791;GO:0070013;GO:0007099;GO:0007030;GO:0000281;GO:0007051;GO:0007088;GO:0008284;GO:0030261,a56f941c2999ebe3417e204e4c20e2a7
1417040,Bargmannia elongata,Gonodendron male,,NA,NA
1368632,Bargmannia elongata,Gonodendron male,,NA,NA
1335710,Bargmannia elongata,Gonodendron male,Q4G0P3|HYDIN_HUMAN Hydrocephalus-inducing protein homolog,NA,NA
1378030,Bargmannia elongata,Gonodendron male,G3UZ78|ADGB_MOUSE Androglobin,NA,215a1ff09ced1ba113065d1714b393f4
1355278,Bargmannia elongata,Gonodendron male,"Q8TD57|DYH3_HUMAN Dynein heavy chain 3, axonemal",GO:0030286;GO:0003777;GO:0007018;GO:0060285;GO:0005524;GO:0036159;GO:0005930;GO:0005874;GO:0051959;GO:0045505;GO:0005829;GO:0016021;GO:0042623;GO:0005509,NA
1377596,Bargmannia elongata,Gonodendron male,Q5SUE8|ANR40_MOUSE Ankyrin repeat domain-containing protein 40,GO:0003677,NA
1422843,Bargmannia elongata,Gonodendron male,Q4VSI4|UBP7_RAT Ubiquitin carboxyl-terminal hydrolase 7,GO:0036459;GO:0016579;GO:0035328;GO:0005700;GO:0006511;GO:0005829;GO:0005634;GO:0004197;GO:0008134;GO:0032991;GO:0003755;GO:1904888;GO:0051090;GO:0045880;GO:0031647;GO:0006342;GO:0016570;GO:0000413,2a68129994c77bf86d3d7dff59373176
1448209,Bargmannia elongata,Gonodendron male,F1P4W9|CFA65_CHICK Cilia- and flagella-associated protein 65 {ECO:0000305},GO:0031514;GO:0007288;GO:0001669;GO:0016021,NA
1293054,Bargmannia elongata,Gonodendron male,Q86XH1|IQCA1_HUMAN IQ and AAA domain-containing protein 1,GO:0005524;GO:0016567;GO:0016021;GO:0035556,4ec0bfe52c6e75bbced60f7137e57762
1435275,Bargmannia elongata,Gonodendron male,P17276|PH4H_DROME Protein henna,GO:0016714;GO:1902222;GO:0006558;GO:0009074;GO:0005506;GO:0042737;GO:0018683;GO:0071391;GO:0055114;GO:0006571,9c4f4d345a0c2da17f58ff99b6745717
1321321,Bargmannia elongata,Gonodendron male,Q5RHH4|IF172_DANRE Intraflagellar transport protein 172 homolog,GO:0031514;GO:0043010;GO:0008134;GO:0004867;GO:0097598;GO:0044782;GO:0070986;GO:0120031;GO:0030992;GO:0061525;GO:0045880;GO:0045879;GO:0021522;GO:0036064;GO:0005930;GO:0060021;GO:0048048;GO:0001843;GO:0001947;GO:0050680;GO:0097542;GO:1903561;GO:0005634;GO:0031122;GO:0007224;GO:0060173;GO:0009953;GO:0060348;GO:0008544;GO:0007219;GO:0070925;GO:0007420;GO:0016485;GO:0045494;GO:0048793;GO:0032006;GO:0098840;GO:0031503;GO:0051172;GO:0031324;GO:0010605;GO:0006357;GO:0009890;GO:0052548;GO:0051346;GO:0032268,NA
1399292,Bargmannia elongata,Gonodendron male,Q9H0M4|ZCPW1_HUMAN Zinc finger CW-type PWWP domain protein 1,NA,NA
1367570,Bargmannia elongata,Gonodendron male,"Q26630|IDLC_STRPU 33 kDa inner dynein arm light chain, axonemal",GO:0045504;GO:0030175;GO:0003341;GO:0005930;GO:0003774;GO:0030286;GO:0036126;GO:0097546;GO:0016021,NA
1328519,Bargmannia elongata,Gonodendron male,,NA,NA
1403146,Bargmannia elongata,Gonodendron male,Q5EAW4|MCM10_XENLA Protein MCM10 homolog,NA,NA
1488644,Bargmannia elongata,Gonodendron male,,NA,NA
1457856,Bargmannia elongata,Gonodendron male,Q5U2X1|FBX9_RAT F-box only protein 9,NA,NA
1383596,Bargmannia elongata,Gonodendron male,,NA,NA
1432361,Bargmannia elongata,Gonodendron male,,NA,NA
1474089,Bargmannia elongata,Gonodendron male,Q2YDN4|CC105_BOVIN Coiled-coil domain-containing protein 105,GO:0004197;GO:0006508,cc8438bed28041a2d1575743b39adf25
1462292,Bargmannia elongata,Gonodendron male,Q5R601|VAPA_PONAB Vesicle-associated membrane protein-associated protein A,GO:0033149;GO:0070972;GO:0005789;GO:0016021;GO:0030968;GO:0005794;GO:0005623;GO:0043005;GO:0030054;GO:0045202;GO:0006874;GO:0070382;GO:0090158;GO:0098590;GO:0005615;GO:0061817;GO:0005783;GO:0005856;GO:0031226;GO:0072553;GO:0060074;GO:0016082;GO:0008088;GO:0007528;GO:0050829;GO:0031122;GO:0034330;GO:0046488;GO:0044419,NA
1306778,Bargmannia elongata,Gonodendron male,,NA,NA
1388881,Bargmannia elongata,Gonodendron male,Q8N8K9|K1958_HUMAN Uncharacterized protein KIAA1958,NA,NA
1401191,Bargmannia elongata,Gonodendron male,A6H6Z7|TPX2_BOVIN Targeting protein for Xklp2,GO:0060236;GO:0005819;GO:0061676;GO:0005874;GO:0019901;GO:0032147;GO:0045171;GO:0043203;GO:0005654;GO:0007026;GO:0090307;GO:0007020,4b0b02265b0784d2b29135600ef9db0a
1427447,Bargmannia elongata,Gonodendron male,Q9P215|POGK_HUMAN Pogo transposable element with KRAB domain,GO:0003676;GO:0005634,NA
1377673,Bargmannia elongata,Gonodendron male,,NA,NA
1454374,Bargmannia elongata,Gonodendron male,"Q9C0G6|DYH6_HUMAN Dynein heavy chain 6, axonemal",NA,NA
1439216,Bargmannia elongata,Gonodendron male,Q8K4I6|CBY1_RAT Protein chibby homolog 1,NA,NA
1378624,Bargmannia elongata,Gonodendron male,Q640Z7|IF20B_XENLA Intraflagellar transport protein 20 homolog B,GO:0031514;GO:2000583;GO:0002046;GO:0017137;GO:0036372;GO:0051642;GO:1902636;GO:0061512;GO:0045198;GO:0030992;GO:0044292;GO:0042073;GO:0005814;GO:0097546;GO:0032391;GO:0035845;GO:0005902;GO:0001750;GO:0090102;GO:0032420;GO:0008542;GO:0060122;GO:2000785;GO:0005801;GO:0005813;GO:0001736;GO:0034067;GO:0007283;GO:1902017;GO:0061351;GO:0055007;GO:0005930;GO:0007224;GO:0072659;GO:0001822;GO:0060828;GO:0060271,NA
1437744,Bargmannia elongata,Gonodendron male,Q91437|PYR1_SQUAC CAD protein,GO:0004088;GO:0021644;GO:0005829;GO:0004070;GO:0006207;GO:0016363;GO:0016597;GO:0005654;GO:0021615;GO:0016812;GO:0021636;GO:0021610;GO:0005524;GO:1900746;GO:0006541;GO:0001946;GO:0030947;GO:0046872;GO:0008593;GO:0060041;GO:0042802;GO:0048812;GO:0019899;GO:0018506;GO:0019240;GO:0006228;GO:0055114,NA
1479574,Bargmannia elongata,Gonodendron male,,NA,NA
1424462,Bargmannia elongata,Gonodendron male,,NA,NA
1444563,Bargmannia elongata,Gonodendron male,,NA,NA
1399578,Bargmannia elongata,Gonodendron male,Q26626|KIFA3_STRPU Kinesin-associated protein 3,GO:0019894;GO:0005871;GO:0046587;GO:0008285;GO:0120170;GO:0043066;GO:0019903;GO:1990075;GO:0035869;GO:0005930;GO:0097733;GO:0005876;GO:0007017;GO:0036064;GO:0008104;GO:0000794;GO:0044782;GO:0005813;GO:0006928;GO:0019886;GO:0005783;GO:0005794;GO:0099518;GO:0006890;GO:0097542;GO:0005829;GO:0120031;GO:0005623;GO:0016021;GO:0070925;GO:0070727;GO:0065003;GO:0015833;GO:0007165,NA
1316927,Bargmannia elongata,Gonodendron male,Q96EQ9|PRDM9_MOUSE Histone-lysine N-methyltransferase PRDM9,NA,NA
1395078,Bargmannia elongata,Gonodendron male,,NA,NA
1324968,Bargmannia elongata,Gonodendron male,,NA,NA
1292576,Bargmannia elongata,Gonodendron male,,NA,NA
